resource_code,name,type,category,unit,price_avg,price_min,price_max,currency,usage_count,labor_role
0202000001,ACEITE MOTOR GASOLINERO MULTIGRADO,material,Aceites,GLN,74.99,74.99,74.99,PEN,,
0202000002,ACEITE MOTOR HELIX HX7 10W-40,material,Aceites,GLN,191.80,191.80,191.80,PEN,,
0202000003,ACEITE MOTOR HELIX ULTRA 5W-40,material,Aceites,L,88.44,88.44,88.44,PEN,,
0202000004,ACEITE MOTOR RIMULA R3X 15W-40,material,Aceites,L,27.91,27.91,27.91,PEN,,
0202000005,ACEITE MOTOR RIMULA R2 25W-50,material,Aceites,L,35.29,35.29,35.29,PEN,,
0202000006,ACEITE MOTOR RIMULA R2 25W-50,material,Aceites,L,35.29,35.29,35.29,PEN,,
0204000001,ALAMBRE NEGRO Nº 8,material,Acero Liso,KG,8.93,8.93,8.93,PEN,,
0204000002,ALAMBRE NEGRO Nº 16,material,Acero Liso,KG,9.03,9.03,9.03,PEN,,
0204000003,"CLAVOS 2 """,material,Acero Liso,KG,6.92,6.92,6.92,PEN,,
0204000004,"CLAVOS 2 1/2""",material,Acero Liso,KG,6.92,6.92,6.92,PEN,,
0204000005,"CLAVOS 3""",material,Acero Liso,KG,6.92,6.92,6.92,PEN,,
0204000006,"CLAVOS 4""",material,Acero Liso,KG,6.92,6.92,6.92,PEN,,
0204000007,"CLAVOS PARA MADERA CON CABEZA DE 2""",material,Acero Liso,KG,7.05,7.05,7.05,PEN,,
0204000008,"CLAVOS PARA MADERA CON CABEZA DE 3""",material,Acero Liso,KG,7.05,7.05,7.05,PEN,,
0204000009,"CLAVOS PARA MADERA CON CABEZA DE 4""",material,Acero Liso,KG,7.05,7.05,7.05,PEN,,
0204000010,"ACERO LISO EN VARILLAS DE 1"" X 6 m",material,Acero Liso,VAR,157.78,157.78,157.78,PEN,,
0204000011,"ACERO LISO EN VARILLAS DE 3/4"" X 6 m",material,Acero Liso,VAR,130.06,130.06,130.06,PEN,,
0204000012,"ACERO LISO EN VARILLAS DE 5/8"" X 6 m",material,Acero Liso,VAR,74.10,74.10,74.10,PEN,,
0204000013,"ACERO LISO EN VARILLAS DE 1/2"" X 6 m",material,Acero Liso,VAR,46.84,46.84,46.84,PEN,,
0204000014,"ACERO LISO EN VARILLAS DE 3/8"" X 6 m",material,Acero Liso,VAR,40.58,40.58,40.58,PEN,,
0204000015,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1/2"" x 1/4""",material,Acero Liso,CTO,9.96,9.96,9.96,PEN,,
0204000016,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1/2"" x 5/16""",material,Acero Liso,CTO,16.26,16.26,16.26,PEN,,
0204000017,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1/2"" x 3/8""",material,Acero Liso,CTO,23.91,23.91,23.91,PEN,,
0204000018,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 5/8"" x 1/4""",material,Acero Liso,CTO,10.52,10.52,10.52,PEN,,
0204000019,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 5/8"" x 5/16""",material,Acero Liso,CTO,17.60,17.60,17.60,PEN,,
0204000020,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 5/8"" x 3/8""",material,Acero Liso,CTO,31.48,31.48,31.48,PEN,,
0204000021,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 3/4"" x 1/4""",material,Acero Liso,CTO,11.08,11.08,11.08,PEN,,
0204000022,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 3/4"" x 5/16""",material,Acero Liso,CTO,19.35,19.35,19.35,PEN,,
0204000023,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 3/4"" x 3/8""",material,Acero Liso,CTO,31.55,31.55,31.55,PEN,,
0204000024,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 3/4"" x 7/16""",material,Acero Liso,CTO,42.34,42.34,42.34,PEN,,
0204000025,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 3/4"" x 1/2""",material,Acero Liso,CTO,63.87,63.87,63.87,PEN,,
0204000026,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1"" x 1/4""",material,Acero Liso,CTO,12.97,12.97,12.97,PEN,,
0204000027,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1"" x 5/16""",material,Acero Liso,CTO,21.45,21.45,21.45,PEN,,
0204000028,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1"" x 3/8""",material,Acero Liso,CTO,31.76,31.76,31.76,PEN,,
0204000029,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1"" x 7/16""",material,Acero Liso,CTO,42.63,42.63,42.63,PEN,,
0204000030,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1"" x 1/2""",material,Acero Liso,CTO,70.39,70.39,70.39,PEN,,
0204000031,"PERNO HEXAGONAL ROSCA CORRIENTE G-2, 1"" x 5/8""",material,Acero Liso,CTO,128.58,128.58,128.58,PEN,,
